ADM,CLOT,DOM,EDUC,ELEC,EXP,FDAW,FDHO,FOOT,FURN,GASO,HEAL,HHTENURE,HOUS,ID,LIFE,LOCT,MAPP,PERS,READ,REFAGE,REFEDUC,REFMS,REFRACE,REFSEX,REGION,SAPP,SIZE,SIZEAF,SIZEAM,SIZEIN,SIZEJF,SIZEJM,TELE,TEXT,TOB,TOYS,TRIP,URBAN
1310,1460,0,75,420,28758.5,2150,2600,27,0,2250,3191,1,6313,2519935,0,0,0,120,52,55,13,1,1,1,2,0,5,2,2,0,1,0,624,0,0,160,300,1
0,430,0,0,172,8997.934,693.3333,866.6667,0,0,400,3177.6,2,408.3333,2563474,0,0,0,0,0,77,13,1,1,1,3,0,2,1,1,0,0,0,240,0,0,0,0,1
0,100,150,0,335,12148,1300,1625,0,0,600,3170,2,475,2622362,300,0,0,250,0,58,12,1,1,2,3,193,2,1,1,0,0,0,576,0,0,270,0,1
0,173,100,0,210,9630.2,52,858,49,500,0,3159.7,4,2718.5,2520105,0,0,0,105,0,77,11,4,1,2,2,0,1,1,0,0,0,0,60,20,325,81,0,1
1274.667,225,312,2482,590,15128.33,216.6667,1430,46,0,694,3140,1,2833,2631802,0,0,0,260,0,41,15,1,1,1,1,0,5,1,1,0,3,0,405,0,0,130,0,1
60,571.6667,16.6667,0,36,9095.083,43.3333,260,100,0,195,3122,4,1550,2567554,0,0,0,276.6667,46.6667,61,17,3,1,2,4,0,1,1,0,0,0,0,101,0,0,690,0,1
195,1165,0,0,402,16091,1125,1365,0,0,1010,3100.7,2,3000,2584243,0,0,0,135,0,72,15,1,1,1,3,30,2,1,1,0,0,0,576,0,0,0,0,1
0,0,0,0,85,6389.567,325,368.3333,0,0,500,3099.9,2,1308.333,2538195,0,0,0,80,20,70,15,2,1,2,2,0,1,1,0,0,0,0,79,0,0,0,0,1
0,0,0,0,152,5247.95,0,624,0,0,120,3099.7,2,604.25,2514395,0,0,0,0,0,43,12,5,1,2,4,0,1,1,0,0,0,0,69,0,0,150,0,1
121,31,101,0,131,18007.65,325,1950,34,0,324,3099.4,2,2016,2613442,0,720,0,20,36,70,15,1,1,2,4,0,3,1,2,0,0,0,126,0,819,0,0,1
90,0,0,0,372,7983.433,0,1213.333,0,0,240,3095.6,2,750,2594463,0,0,0,150,160,74,16,1,1,1,1,0,2,1,1,0,0,0,137,0,0,0,0,1
46.6667,0,0,0,240,7278.8,173.3333,693.3333,0,0,100,3093.8,2,1016.667,2597183,0,0,0,20,0,72,13,2,1,1,2,0,1,0,1,0,0,0,134,0,0,100,0,1
60.3333,130,0,0,70,6689.581,130,303.3333,40,0,250,3087.667,2,310,2638112,0,0,0,20,15,57,13,1,1,1,2,0,3,1,2,0,0,0,50,0,0,0,0,1
445,550,120,2400,518,25666.25,690,1040,100,0,1610,3085,1,3525,2589473,396,0,0,300,230,53,17,1,1,2,3,60,3,1,2,0,0,0,744,20,0,175,1000,1
123.3333,0,0,0,96,9809.962,216.6667,1040,0,0,144,3079,4,2150,2595763,0,0,0,23.3333,156.6667,48,14,3,1,1,4,0,3,0,1,0,2,0,228,0,0,100,0,1
